"hid01","hs01a27","hs01b10","hs01b12","hs01a01","hs01a08","h01aa001","h01aa002","h01aa007","h01aa008","w01fnum","w01cnum","w01cnum_1","w01cnum_2","w01byr01","w01gen01","w01mar01","w01rel01","w01byr02","w01gen02","w01mar02","w01rel02","w01byr03","w01gen03","w01mar03","w01rel03","w01byr04","w01gen04","w01mar04","w01rel04","w01byr05","w01gen05","w01mar05","w01rel05","w01byr06","w01gen06","w01mar06","w01rel06","w01byr07","w01gen07","w01mar07","w01rel07","w01byr08","w01gen08","w01mar08","w01rel08","w01byr09","w01gen09","w01mar09","w01rel09","w01edu01","w01grd01","w01job01","w01jpo01","w01edu02","w01grd02","w01job02","w01jpo02","w01edu03","w01grd03","w01job03","w01jpo03","w01edu04","w01grd04","w01job04","w01jpo04","w01edu05","w01grd05","w01job05","w01jpo05","w01edu06","w01grd06","w01job06","w01jpo06","w01edu07","w01grd07","w01job07","w01jpo07","w01edu08","w01grd08","w01job08","w01jpo08","w01edu09","w01grd09","w01job09","w01jpo09","h01ba001","h01ba002","h01ba003","h01ba007","h01ba008","h01ba010","h01ba011","h01ba012","h01ba013","h01ba044","h01ba045","h01ba046","h01ba047","h01ba118","h01ba119","h01ba120","h01ba121","h01ba122","h01ba123","h01ba124","h01bb001","h01bb003","h01bb004","h01bb005","h01bb006","h01bb007","h01bb008","h01bb009","h01bb010","h01bb011","h01bb012","h01bb013","h01bb014","h01bb015","h01bb016","h01bb017","h01bb018","h01bb019","h01bb020","h01bb021","h01bb022","h01bb023","h01bb024","h01bb025","h01bb026","h01bb027","h01bb028","h01bb029","h01bb030","h01bb038","h01bb039","h01bb053","h01bb201","h01bb203","h01bb205","h01inc","h01inc_a","h01inc_b","h01exp","h01exp_a","h01exp_b","h01ca001","h01ca002","h01exp_cb","h01cb001","h01cb002","h01cb003","h01cb004","h01cb005","h01cb006","h01cb007","h01cb008","h01cb009","h01cb010","h01cb011","h01cb012","h01cb013","h01cb014","h01cb015","h01cb016","h01exp_cc","h01cc001","h01cc002","h01cc003","h01cc004","h01cc005","h01exp_cd","h01cd001","h01cd002","h01cd003","h01cd004","h01exp_ce","h01ce001","h01ce004","h01ce005","h01ce006","h01ce007","h01ce008","h01ce009","h01ce010","h01ce011","h01ce012","h01ce013","h01ce014","h01ce015","h01ce016","h01ce017","h01ce018","h01ce019","h01exp_cf","h01exp_cg","h01cg001","h01cg002","h01cg003","h01cg004","h01cg005","h01cg006","h01cg007","h01cg008","h01cg009","h01cg010","h01exp_ch","h01ch001","h01exp_ci","h01ch002","h01ch003","h01ch004","h01ch005","h01ch006","h01ch007","h01ch008","h01ch009","h01ch010","h01ch011","h01exp_cj","h01cj001","h01cj002","h01cj003","h01cj004","h01cj005","h01cj006","h01exp_ck","h01ck007","h01ck008","h01exp_cl","h01exp_cm","h01exp_cn","h01cn001","h01cn002","h01exp_co","h01co002","h01co004","h01co005","h01co201","h01co006","h01co008","h01co120","h01co009","h01co011","h01co012","h01co202","h01co013","h01co015","h01co121","h01co016","h01co018","h01co019","h01co203","h01co020","h01co022","h01co122","h01co023","h01co025","h01co026","h01co204","h01co027","h01co029","h01co123","h01co108","h01co104","h01co105","h01co106","h01co107","h01exp_cp","h01cp101","h01cp001","h01cp002","h01cp003","h01cp004","h01cp005","h01cp006","h01cp007","h01exp_cq","h01cq011","h01cq001","h01cq002","h01cq003","h01cq004","h01cq005","h01cq006","h01cq007","h01cq008","h01cq009","h01cq010","h01exp_cr","h01cr001","h01cr003","h01cr004","h01cr005","h01cr006","h01cr007","h01cr008","h01cr009","h01cr010","h01cr011","h01cr012","h01cr013","h01cr014","h01cr015","h01cr016","h01cr017","h01exp_cs","h01exp_ct","h01ct001","h01ct002","h01exp_cu","h01cu001","h01cu002","h01da001","h01da002","h01da003","h01da004","h01dc001","h01dc003","h01dc004","h01dc011","h01dc013","h01dc014","h01dc021","h01dc023","h01dc024","h01dc031","h01dd001","h01dd003","h01dd010","h01dd011","h01dd013","h01dd020","h01dd021","h01dd023","h01dd030","h01dd031","h01de001","h01de002","h01de003","h01de004","h01ea001","h01ea002","h01ea003","h01ea004","h01eb001","h01eb003","h01eb004","h01eb006","h01eb008","h01eb009","h01eb011","h01eb013","h01eb014","h01eb016","h01eb018","h01eb019","h01eb021","h01ec001","h01ec003","h01ec004","h01ec006","h01ec008","h01ec009","h01ec011","h01ec013","h01ec014","h01ec016","h01ec018","h01ec019","h01ec021","h01fa001","h01fa002","h01fa003","h01fa004","h01fa005","h01fa006","h01fa007","h01fa008","h01fa011","h01fa012","h01fa013","h01fa014","h01fa015","h01fa016","h01fb030","h01fb031","h01fb009","h01fb010","h01fb011","h01fb012","h01fb013","h01fb014","h01fb015","h01fb016","h01fb017","h01fb018","h01fb025","h01fb026","h01fb019","h01fb020","h01fb001","h01fb002","h01fc100","h01fc001","h01fc002","h01fc003","h01fc004","h01fc005","h01fc006","h01fc007","h01fc011","h01fc012","h01fc014","h01fc015","h01fc016","h01fc017","h01ka002","h01ka004","h01ka005","h01ka009","h01ka010","h01ka014","h01ka015","h01ka019","h01ka020","h01ka024","h01ka025","h01ka029","h01ka030","h01ka034","h01ka035","h01ka040","h01ka041","h01ka044","h01ka045","hpid01","hpid02","hpid03","hpid04","hpid05","hpid06","hpid07","hpid08","hpid09","h01cwt","version1"
10001,1,11,1,2,60054,1,2,4,1,4,2,0,2,1965,1,1,1,1965,2,1,2,1992,2,4,3,1993,2,4,3,,,,,,,,,,,,,,,,,,,,,6,2,4,4,6,2,12,,4,1,14,,3,1,14,,,,,,,,,,,,,,,,,,,,,,3,2,,15000,,,,99,82.5,,,,,4,2,,2,,,,1,2,208,2005,2005,2200,2000,1,,,,,,,,,,,,,,,,,,,,,,1,95,1,,,25,5000,5000,0,,,497,4,200,13,1,13,1,3,1,1.5,1,7,2,,2,,2,,2,,1080,1,50,1,40,3,0,2,,2,,0,2,,,,,,,,,,,,,,,,,,142.799987792969,1,6,1,0.8,1,1.6,1,3.5,2,,254.399993896484,2,,,1,240,2,,,2,,1,14.4,0,2,,2,,2,,0,2,,,,48,1,48,780,1000103,4,2,180,120,60,480,1000104,9,,,,,120,,,,,,,,,,,,,,,2,,,,,70,1,70,1,40,2,,2,,0,2,2,,2,,2,,2,,2,,124,1,1000101,5,60,1000102,5,60,1000103,3,4,,,,,,,,123,1,123,30,1,30,1,100,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1000,2,,2,,2,,2,,1,500,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,15000,2,,2,,,2,,,2,,2,,2,,1,1,1,2,,2,,2,,,,,,,,,,,,1000101,1000102,1000103,1000104,,,,,,3448.173071,1.72000002861023
10002,1,11,1,2,60054,1,1,5,1,5,2,2,0,1976,2,1,1,1931,2,1,6,1969,1,1,2,2002,2,4,3,2004,1,4,3,,,,,,,,,,,,,,,,,5,2,3,1,1,,12,,4,2,13,,1,,13,,1,,13,,,,,,,,,,,,,,,,,,3,1,10000,,,,,89.1,29.7,,,,,2,1,16000,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,4203,4037,166,3889.5,2155.39990234375,1734.09997558594,3,150,17,1,17,1,5.5,1,1.2,1,10,2,,2,,2,,2,,720,1,60,2,,5,36,1,3,2,,56.4000015258789,1,1000203,4.7,8,0.25,,,,,,,,,,,,,,61.2000007629395,1,1.4,1,1.7,1,1,1,1,2,,16.7999992370605,2,,,1,12,2,,,1,4.8,2,,0,2,,2,,2,,0,2,,,,30,1,30,708,1000204,0,1,264,264,0,96,1000205,0,1,300,300,0,48,,,,,,,,,,,,,,,2,,,,,310,1,310,1,10,1,190,2,,200,2,2,,2,,2,,2,,1,200,0,2,,,,,,,,,,,,,,,,,1052,1,1052,120,1,120,1,360,1,166,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,1,1000202,2,5,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,4208,2,,1,10000,1,16500,2,,2,,2,,2,,2,,2,,2,,1,6000,2,,,2,,,1,6000,2,,2,,2,1,1,1,,2,,2,,2,,,,,,,,,,1000201,1000202,1000203,1000204,1000205,,,,,5336.013169,1.72000002861023
10003,1,11,1,2,60054,1,1,2,1,2,0,0,0,1947,2,1,1,1943,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,6,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,30000,,,,,99,82.5,,,,,2,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,1380,1380,0,3310.19995117188,3176.19995117188,134,2,100,10,1,10,1,4,1,1,1,5,2,,2,,2,,2,,600,1,50,2,,5,0,2,,2,,0,2,,,,,,,,,,,,,,,,,,61.2000007629395,1,2,1,0.5,1,1.5,1,1.1,2,,0,2,,,2,,2,,,2,,2,,5,1,5,2,,2,,0,2,,,,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2500,1,2500,1,100,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,24,1,24,60,1,60,1,50,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,30000,2,,2,,2,,2,,2,,2,,2,,2,,1,3000,2,,,2,,,1,3000,2,,2,,1,1,2,2,,,,,,,,,,,,,,,,1000301,1000302,,,,,,,,4015.925084,1.72000002861023
10004,1,11,1,2,60054,1,1,3,2,3,1,0,1,1939,2,1,1,1964,2,1,3,1991,2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,1,5,2,4,4,4,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20000,,,66,66,,,,,,,3,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2460,2460,0,1597.19995117188,1239.19995117188,358,3,100,8,1,8,1,5,1,1.5,1,1,2,,2,,2,,2,,600,1,50,2,,5,0,2,,2,,0,2,,,,,,,,,,,,,,,,,,145.199996948242,1,3,1,3,1,5,1,1.1,2,,0,2,,,2,,2,,,2,,2,,0,2,,2,,2,,0,2,,,,0,2,,386,1000403,4,2,26,11,15,360,,,,,,,,,,,,,,,,,,,,,,2,,,,,100,1,100,2,,2,,2,,0,2,2,,2,,2,,2,,2,,24,1,1000401,5,24,,,,,,,,,,,,,,180,1,180,54,1,54,1,100,2,,2,,,,,,,,,,1,5,1000401,600,,,,,,,2,,2,,2,,,,1,1000401,2,5,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,20000,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,1,2,1,2,2,,,,,,,,,,,,,,1000401,1000402,1000403,,,,,,,4015.925084,1.72000002861023
10005,1,11,1,2,60054,1,2,3,2,3,0,0,0,1946,1,1,1,1951,2,1,2,1977,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,4,5,1,12,,5,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,11000,,,,115.5,92.4,,,,,2,2,,2,,,,1,3,336,1998,1998,1500,1793,1,,,,,,,,,,,,,,,,,,,,,,1,110,1,,,5,4620,3420,1200,,,266,3,200,10,1,10,1,3,1,1.5,1,5,2,,2,,2,,2,,876,1,70,1,3,5,0,2,,2,,0,2,,,,,,,,,,,,,,,,,,230.400009155273,1,2,1,0.3,1,15,1,1.9,2,,24,2,,,1,6,2,,,2,,1,18,0,2,,2,,2,,0,2,,,,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,30,1,30,2,,2,,2,,12100,1,1,12000,2,,1,7600,2,,1,100,60,1,1000502,5,60,,,,,,,,,,,,,,0,2,,,1,-9,1,100,1,1200,1,1000502,11,60,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,7600,2,,2,,2,,2,,2,,2,,2,,1,60000,2,,2,,2,,2,,2,,2,,1,11000,1,21000,2,,,2,,,1,5000,1,16000,2,,2,1,2,2,,1,1,,,,,,,,,,,,,1000501,1000502,1000503,,,,,,,3145.211958,1.72000002861023
10006,1,11,1,2,60054,1,1,3,0,3,1,0,1,1949,1,1,1,1963,2,1,2,1992,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,6,4,13,,3,2,12,,4,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,19000,,,,,141.9,66,,,,,4,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,4200,4200,0,1881.80004882813,1195.80004882813,686,3,350,20,1,20,1,8,1,1.5,1,10,2,,2,,2,,2,,600,1,50,2,,5,36,1,3,2,,90,1,1000601,7.5,6,0.25,,,,,,,,,,,,,,298.799987792969,1,2,1,6,1,15,1,1.9,2,,66,1,,48,2,,2,,,2,,1,18,0,2,,2,,2,,0,2,,,,0,2,,55,1000603,4,1,23,13,10,32,,,,,,,,,,,,,,,,,,,,,,2,,,,,30,1,30,2,,2,,1,30,0,2,2,,2,,2,,2,,2,,36,1,1000601,1,12,1000601,5,24,,,,,,,,,,,0,2,,100,1,100,1,250,2,,1,1000601,3,300,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,2400,2,,1,19000,1,7000,2,,2,,2,,2,,2,,2,,2,,1,19000,1,10000,0,2,,,1,9000,2,,2,,1,1,2,2,,2,,,,,,,,,,,,,,1000601,1000602,1000603,,,,,,,4203.60255,1.72000002861023
10007,1,11,1,2,60054,1,1,3,3,3,0,0,0,1947,1,1,1,1952,2,1,2,1980,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,4,2,4,6,6,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,3,1,18000,,,,,-9,99,,,,,3,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,3240,3240,0,,,611,3,200,18,1,18,1,5.5,1,2,1,10,2,,2,,2,,2,,1200,1,60,1,40,4,120,1,10,2,,0,2,,,,,,,,,,,,,,,,,,210,1,3,1,1.5,1,10,1,3,2,,30,2,,,1,12,2,,,2,,1,18,6,1,6,2,,2,,0,2,,,,60,1,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,80,1,80,1,60,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,240,1,240,190,1,190,1,100,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,600,2,,1,18000,2,,2,,2,,2,,2,,2,,2,,2,,1,5000,2,,,2,,,1,5000,2,,2,,2,1,2,2,,1,1,,,,,,,,,,,,,1000701,1000702,1000703,,,,,,,2845.667962,1.72000002861023
10008,1,11,1,2,60054,1,2,2,0,2,0,0,0,1938,2,1,1,1931,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,12,,4,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12000,,,39.6,26.4,,,,,,,3,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,1104,1104,0,601,474,127,1,60,6,1,6,1,3,1,1.5,1,1,2,,2,,2,,2,,360,1,30,2,,5,0,2,,2,,36,1,1000802,3,35,0.2,,,,,,,,,,,,,,72,2,,1,2.5,1,1.5,1,2,2,,0,2,,,2,,2,,,2,,2,,0,2,,2,,2,,0,2,,,,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,2,,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,112,1,112,0,2,,1,15,2,,2,,,,,,,,,,1,5,1000801,360,,,,,,,2,,2,,2,,,,1,1000801,3,1,1000802,3,1,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,12000,2,,2,,2,,2,,2,,2,,2,,2,,1,2400,2,,,2,,,1,2400,2,,2,,2,1,2,1,2,,,,,,,,,,,,,,,1000801,1000802,,,,,,,,3633.456028,1.72000002861023
10009,1,11,1,2,60054,1,1,2,1,2,0,0,0,1946,1,1,1,1947,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,3,1,4,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,30000,,,,,66,42.9,,,,,5,1,25000,2,,,,1,2,219,1996,1998,1000,2000,1,,,,,,,,,,,,,,,,,,,,,,1,26,1,10,,,1110,1110,0,1443.59997558594,1325,118.599998474121,1,100,17,1,17,1,6,1,2.5,1,8,2,,2,,2,,2,,540,1,30,1,15,3,48,1,4,2,,0,2,,,,,,,,,,,,,,,,,,96,1,2,1,1.5,1,4,1,0.5,2,,24,2,,,2,,2,,,1,24,2,,0,2,,2,,2,,0,2,,,,120,1,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,260,1,260,2,,1,200,2,,100,2,2,,2,,2,,2,,1,100,0,2,,,,,,,,,,,,,,,,,26,1,26,26,1,26,1,60,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1000,2,,2,,2,,2,,2,,2,,1,30000,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,1,1,1,2,,,,,,,,,,,,,,,,1000901,1000902,,,,,,,,2845.667962,1.72000002861023
10010,1,11,1,2,60054,1,2,4,2,4,0,0,0,1960,2,1,1,1950,1,1,2,1981,1,4,3,1985,2,4,3,,,,,,,,,,,,,,,,,,,,,2,2,8,3,3,2,13,,4,2,1,1,4,2,13,,,,,,,,,,,,,,,,,,,,,,3,1,8000,,,,,66,49.5,,,,,2,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,3600,3600,0,1322.40002441406,1062.40002441406,260,3,100,16,1,16,1,4.5,1,2,1,9,2,,2,,2,,2,,480,1,40,2,,5,0,2,,2,,90,1,1001002,7.5,24,0.25,,,,,,,,,,,,,,440.399993896484,1,2.5,1,3,1,30,1,1.2,2,,0,2,,,2,,2,,,2,,2,,0,2,,2,,2,,0,2,,,,36,1,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,2,,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,240,1,240,0,2,,1,20,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,8000,2,,2,,2,,2,,2,,2,,2,,2,,1,4000,1,3000,0,2,,,1,1000,2,,2,,2,1,2,2,,1,2,2,,,,,,,,,,,,1001001,1001002,1001003,1001004,,,,,,3983.447029,1.72000002861023
